(350, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 332, 3173, 0, 64, 12501, 12500, 312, 0, 0, 0, 0, 0, 297, 0, 1, 1, 0, 2, 24, 0, 458, 0, 15, 18009, 13421], [[0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1], 1], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(98, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 80, 3174, 0, 64, 12501, 12500, 60, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 26, 12, 200, 0, 15, 18009, 14295], [[0, 0, 0, 0], [1, 0, 1, 0, 1, 1, 1, 0], [1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0], [0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0], 0], [0, 0, 0, 0, [0, 1, 1, 0, 0]])
(590, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 572, 3175, 0, 64, 12501, 12500, 552, 0, 0, 0, 0, 0, 537, 0, 0, 0, 0, 1, 8, 0, 6, 0, 15, 18009, 16908], [[0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(246, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 228, 3176, 0, 64, 12501, 12500, 208, 0, 0, 0, 0, 0, 193, 1, 0, 0, 0, 2, 0, 1, 9, 0, 15, 18009, 16923], [[0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0], 1], [0, 0, 0, 0, [0, 0, 0, 0, 1]])
(210, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 192, 3177, 0, 64, 12501, 12500, 172, 0, 0, 0, 0, 0, 157, 1, 1, 1, 0, 1, 29, 24, 1, 0, 15, 18009, 17790], [[0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1], [1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [1, 1, 0, 0, 0]])
(94, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 76, 3178, 0, 64, 12501, 12500, 56, 0, 0, 0, 0, 0, 41, 1, 0, 0, 0, 0, 14, 17, 68, 0, 15, 18009, 20411], [[0, 0, 0, 0], [0, 0, 0, 1, 1, 1, 0, 1], [0, 1, 1, 0, 1], [0, 0, 1, 1, 1, 0], [1, 1, 0, 0, 0, 1], [0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0], 0], [0, 0, 0, 0, [1, 0, 0, 0, 1]])
(350, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 332, 3179, 0, 64, 12501, 12500, 312, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 21285], [[1, 1, 1, 1], [1, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(62, ('00:10:ec:01:e5:43', '00:1f:29:57:94:f2'), ('169.254.174.2', '169.254.174.5'), [2048, 17664, 48, 37445, 16384, 64, 12500, 12501, 28, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 24, 22, 0, 0, 0, 0], [[0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 1, 1], [0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0], 1], [0, 0, 0, 0, [1, 1, 0, 0, 0]])
(98, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 80, 3180, 0, 64, 12501, 12500, 60, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 7, 140, 0, 15, 18009, 23033], [[0, 0, 1, 0], [1, 0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1], [0, 0, 0, 0, [0, 0, 1, 1, 1]])
(590, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 572, 3181, 0, 64, 12501, 12500, 552, 0, 0, 0, 0, 0, 537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 24109], [[0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(246, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 228, 3182, 0, 64, 12501, 12500, 208, 0, 0, 0, 0, 0, 193, 1, 1, 1, 0, 1, 17, 2, 381, 0, 15, 18009, 24125], [[0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 1, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 1, 0]])
(210, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 192, 3183, 0, 64, 12501, 12500, 172, 0, 0, 0, 0, 0, 157, 0, 0, 1, 0, 0, 7, 24, 15, 0, 15, 18009, 26598], [[0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 0], [1, 1, 0, 0, 1], [0, 0, 0, 1, 1, 1], [0, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1], 0], [0, 0, 0, 0, [1, 1, 0, 0, 0]])
